date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_elo_before,away_elo_before,elo_difference,home_advantage,result
1898-03-28,Wales,England,0.0,3.0,British Home Championship,Wrexham,Wales,False,1581.0972538545034,1891.1051466337824,-310.007892779279,1,away_win
1898-04-02,Scotland,England,1.0,3.0,British Home Championship,Glasgow,Scotland,False,1869.317597696331,1893.979993588028,-24.662395891697088,1,away_win
1899-02-18,England,Northern Ireland,13.0,2.0,British Home Championship,Sunderland,England,False,1903.2713426101445,1501.4041925294266,401.8671500807179,1,home_win
1899-03-04,Northern Ireland,Wales,1.0,0.0,British Home Championship,Belfast,Ireland,False,1499.6036983552412,1578.2224069002577,-78.61870854501649,1,home_win
1899-03-18,Wales,Scotland,0.0,6.0,British Home Championship,Wrexham,Wales,False,1565.997425489453,1860.0262486742145,-294.02882318476145,1,away_win
1899-03-20,England,Wales,4.0,0.0,British Home Championship,Bristol,England,False,1905.07183678433,1562.8886517091455,342.1831850751844,1,home_win
1899-03-25,Scotland,Northern Ireland,9.0,1.0,British Home Championship,Glasgow,Scotland,False,1863.135022454522,1511.828679766046,351.306342688476,1,home_win
1899-04-08,England,Scotland,2.0,1.0,British Home Championship,Birmingham,England,False,1907.5201199234982,1865.4726873902036,42.04743253329457,1,home_win
1900-02-03,Scotland,Wales,5.0,2.0,British Home Championship,Aberdeen,Scotland,False,1856.6770357331336,1560.4403685699772,296.2366671631564,1,home_win
1900-02-24,Wales,Northern Ireland,2.0,0.0,British Home Championship,Llandudno,Wales,False,1557.3648179443394,1509.4910148303643,47.8738031139751,1,home_win
1900-03-03,Northern Ireland,Scotland,0.0,3.0,British Home Championship,Belfast,Ireland,False,1500.860278707331,1859.7525863587714,-358.89230765144043,1,away_win
1900-03-17,Northern Ireland,England,0.0,2.0,British Home Championship,Dublin,Ireland,False,1498.611266759818,1916.3157715805683,-417.70450482075034,1,away_win
1900-03-26,Wales,England,1.0,1.0,British Home Championship,Cardiff,Wales,False,1565.9955540673727,1917.9723747901241,-351.9768207227514,1,draw
1900-04-07,Scotland,England,4.0,1.0,British Home Championship,Glasgow,Scotland,False,1862.0015983062844,1910.302083659469,-48.30048535318451,1,home_win
1901-02-23,Scotland,Northern Ireland,11.0,0.0,British Home Championship,Glasgow,Scotland,False,1873.382910800552,1496.954663550262,376.42824725029004,1,home_win
